table,fieldName,description,dataType,units,downloadPkg
ltr_litterLignin,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
ltr_litterLignin,analysisDate,"Date that the sample was analyzed",dateTime,NA,basic
ltr_litterLignin,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
ltr_litterLignin,domainID,"Unique identifier of the NEON domain",string,NA,basic
ltr_litterLignin,siteID,"NEON site code",string,NA,basic
ltr_litterLignin,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
ltr_litterLignin,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic
ltr_litterLignin,setDate,"Date that trap was set",dateTime,NA,basic
ltr_litterLignin,collectDate,"Date of the collection event",dateTime,NA,basic
ltr_litterLignin,massSampleMixtureID,"Identifier for a mixture of mass samples",string,NA,basic
ltr_litterLignin,ligninSampleID,"Identifier for a lignin sample",string,NA,basic
ltr_litterLignin,ligninSampleBarcode,"Barcode for a lignin sample",string,NA,basic
ltr_litterLignin,analyticalRepNumber,"Number of the analytical replicate",unsigned integer,number,basic
ltr_litterLignin,dryMass,"Oven-dried mass of sample or subsample",real,gram,basic
ltr_litterLignin,ligninPercent,"Percent lignin on a dry mass basis",real,percent,basic
ltr_litterLignin,cellulosePercent,"Percent cellulose on a dry mass basis",real,percent,basic
ltr_litterLignin,measurementQF,"Quality flag for sample measurement",string,NA,basic
ltr_litterLignin,accuracyQF,"Quality flag for quality assurance materials associated with the run",string,NA,basic
ltr_litterLignin,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
ltr_litterLignin,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,basic
ltr_litterLignin,testMethod,"Method used to conduct test",string,NA,basic
ltr_litterLignin,analyzedBy,"Name of lab personnel analyzing sample",string,NA,basic
ltr_litterLignin,reviewedBy,"Name of lab personnel who reviewed the data prior to submission",string,NA,basic
ltr_litterLignin,dataQF,"Data quality flag",string,NA,basic
