"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","collectDate","ovenStartDate","ovenEndDate","sampleCondition","cnSampleID","cnSampleCode","ligninSampleID","ligninSampleBarcode","archiveSampleID","archiveSampleCode","toxicodendronPossible","processedBy","remarks","dataQF"
"4be597d4-5ce5-4f7c-9106-b4af07824497","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","A00000000772","2018-08-29T13:38Z","2018-08-30T18:34Z","2018-09-10T20:04Z","OK","AVQkM2txccdJInaV60DTclWghgJyQkIgKcu9WGq0iVY=","A00000032127","AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=","A00000032128","AVQkM2txccdJInaV60DTclWghgJyQkIgZ2zSCYqWxls=","A00000032126",NA,"jlerner@battelleecology.org",NA,NA
"4f63d08a-1ff9-44e1-8e71-910191c5f542","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=","A00000000744","2018-08-30T13:54Z","2018-09-05T14:00Z","2018-09-10T20:07Z","OK","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRdPLdZR/psak=","A00000032124","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRtnfumfA7EMztdu9DrHXwNQ==","A00000032125","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRKUbj/b98IN8=","A00000032123",NA,"jlerner@battelleecology.org",NA,NA
"60d2502c-58c2-4e5d-bcf9-7ff92847f3da","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=","A00000000773","2018-08-30T14:54Z","2018-09-05T14:00Z","2018-09-10T20:10Z","OK","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XwiVTEeAQUH0=","A00000032120","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=","A00000032122","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXKvcmkkB4mU=","A00000032121",NA,"jlerner@battelleecology.org",NA,NA
"d55c1982-fe4e-4c2c-bbd8-00072e784ba5","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=","A00000000788","2018-08-30T18:38Z","2018-09-05T14:00Z","2018-09-10T20:01Z","OK","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+HiRlP/KGqtk=","A00000032110","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+ZwljW9CcX4s=","A00000032109","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+fldSjiJrtRE=","A00000032108",NA,"jlerner@battelleecology.org",NA,NA
"357b96c8-1173-42a3-b18b-7f605d5f6091","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=","A00000000745","2018-08-30T19:35Z","2018-09-05T14:00Z","2018-09-10T20:09Z","OK","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpkkdTwPNTJtc=","A00000032112","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpEOCjhkSeg7M=","A00000032113","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpcFRefWTnRoQ=","A00000032111",NA,"jlerner@battelleecology.org",NA,NA
"cdfcd467-5801-4ce7-b1e7-2a01832baf9c","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","2018-09-04T15:09Z","2018-09-05T20:24Z","2018-09-10T20:14Z","OK","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrB3ae0H9ebzmc=","A00000032115","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=","A00000032116","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBrEMSrEMLoOw=","A00000032114",NA,"jlerner@battelleecology.org","",NA
"38d372de-6208-4ed3-8667-b103e3f0d34f","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","2018-09-04T18:41Z","2018-09-05T20:24Z","2018-09-10T20:12Z","OK","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJBc8ZSNzwJrw=","A00000032129","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=","A00000032130","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkoptmfeyd4E=","A00000032131",NA,"jlerner@battelleecology.org","",NA
"db6646fe-b53e-4c34-9ee0-665444000396","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","2018-09-04T20:14Z","2018-09-05T15:50Z","2018-09-10T19:54Z","OK","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MIp2kth1RJ+4=","A00000032118","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=","A00000032119","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MrNWw2aFRnk4=","A00000032117",NA,"jlerner@battelleecology.org","",NA
"782a822f-c1e0-46c6-ad07-b7b80badae43","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","2018-09-05T14:07Z","2018-09-06T15:07Z","2018-09-10T20:27Z","OK","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6yDRXI1iufI8=","A00000032107","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==","A00000032106","AVQkM2txccfa6Tc84ohrE3TBoxsq44q69NjWQM+y9AA=","A00000032105",NA,"jlerner@battelleecology.org","",NA
"61edc411-0c78-4799-97b8-7b0729ccf92f","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","2018-09-05T14:50Z","2018-09-06T15:07Z","2018-09-10T20:25Z","OK","AVQkM2txcccnUG9qT4JtDncUn6t7HQMg7+YNToOJahE=","A00000032104","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgDcfbGh9QKys=","A00000032103","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgL3thFrlKJlY=","A00000032102",NA,"jlerner@battelleecology.org","",NA
"77c1a3d2-2f1c-4f19-9b86-e0eba2dee255","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","2018-09-05T16:06Z","2018-09-06T15:07Z","2018-09-10T20:26Z","OK","AVQkM2txccdU9XU1geX3p7dBL1yeO83x3rrfX+sT5m4=","A00000032100","AVQkM2txccdU9XU1geX3p7dBL1yeO83xV/VGpWjIRYw=","A00000032101","AVQkM2txccdU9XU1geX3p7dBL1yeO83xt3h6atEr+P0=","A00000032099",NA,"jlerner@battelleecology.org","",NA
"0ea7e6cc-1273-40af-b861-a5564009916f","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","2018-09-05T18:04Z","2018-09-06T15:07Z","2018-09-10T20:24Z","OK","AVQkM2txccff87SxuZNcE+iY147qeowcnI4m1SoX82U=","A00000032095","AVQkM2txccff87SxuZNcE+iY147qeowc6HcElX59D0U=","A00000032094","AVQkM2txccff87SxuZNcE+iY147qeowcQBru2D7+9g8=","A00000032093",NA,"jlerner@battelleecology.org","",NA
"8f8cece8-1b07-46fa-bcaf-c7afe73580aa","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","2018-09-06T13:01Z","2018-09-07T15:50Z","2018-09-10T20:19Z","OK","AVQkM2txcccbfq2mByGOeXPHFFcT7zucuBhLqbW8U5w=","A00000032133","AVQkM2txcccbfq2mByGOeXPHFFcT7zucYJ0igMOHGDQ=","A00000032134","AVQkM2txcccbfq2mByGOeXPHFFcT7zucdNYQQNROkzc=","A00000032132",NA,"jlerner@battelleecology.org","",NA
"b31f41a9-73f8-4e82-adea-e6bd6e3dbe78","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764","2018-09-06T14:34Z","2018-09-07T15:50Z","2018-09-10T20:17Z","OK","AVQkM2txccenLB73JxEdacLoLcwaSeCKoBxGqKkMTsU=","A00000032098","AVQkM2txccenLB73JxEdacLoLcwaSeCKT915s93fus8=","A00000032097","AVQkM2txccenLB73JxEdacLoLcwaSeCKNDNvATY3kd8=","A00000032096",NA,"jlerner@battelleecology.org","Originally recorded as QURU",NA
"0b0ca821-684f-445a-8e34-956d39f50bdc","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743","2018-09-06T16:56Z","2018-09-07T15:50Z","2018-09-10T20:20Z","OK","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5NqSSXuDeW3s=","A00000032139","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5GW7F37o0G84=","A00000032140","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5wYetdSxKT10=","A00000032138",NA,"jlerner@battelleecology.org","",NA
"4c8611ee-1011-4b47-bd70-bad814c041f1","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=","A00000000758","2018-09-06T18:11Z","2018-09-07T15:50Z","2018-09-10T20:16Z","OK","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7QZGJAsrUSDw=","A00000032137","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7fGYYZ+4JSduLj8Roq1NxBw==","A00000032136","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7kYs+fNKKyyU=","A00000032135",NA,"jlerner@battelleecology.org","",NA
