table,fieldName,description,dataType,units,downloadPkg
ltr_fielddata,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
ltr_fielddata,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
ltr_fielddata,domainID,"Unique identifier of the NEON domain",string,NA,basic
ltr_fielddata,siteID,"NEON site code",string,NA,basic
ltr_fielddata,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
ltr_fielddata,trapID,"Identifier for trap",string,NA,basic
ltr_fielddata,setDate,"Date that trap was set",dateTime,NA,basic
ltr_fielddata,collectDate,"Date of the collection event",dateTime,NA,basic
ltr_fielddata,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic
ltr_fielddata,trappingDays,"Decimal days between trap setting and collecting events",real,nominalDay,basic
ltr_fielddata,fieldSampleID,"Unique identifier for a field sample",string,NA,basic
ltr_fielddata,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,basic
ltr_fielddata,trapCondition,"Condition of litter trap and indication of whether litter was collected",string,NA,basic
ltr_fielddata,toxicodendronPossible,"Indicator for whether a sample may contain Toxicodendron spp",string,NA,basic
ltr_fielddata,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
ltr_fielddata,measuredBy,"An identifier for the technician who measured or collected the data",string,NA,basic
ltr_fielddata,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
ltr_massdata,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
ltr_massdata,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
ltr_massdata,domainID,"Unique identifier of the NEON domain",string,NA,basic
ltr_massdata,siteID,"NEON site code",string,NA,basic
ltr_massdata,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
ltr_massdata,trapID,"Identifier for trap",string,NA,basic
ltr_massdata,weighDate,"Date that sample or subsample was weighed",dateTime,NA,basic
ltr_massdata,setDate,"Date that trap was set",dateTime,NA,basic
ltr_massdata,collectDate,"Date of the collection event",dateTime,NA,basic
ltr_massdata,ovenStartDate,"The date and time a sample was placed in the drying oven",dateTime,NA,basic
ltr_massdata,ovenEndDate,"The date and time a sample was removed from the drying oven",dateTime,NA,basic
ltr_massdata,fieldSampleID,"Unique identifier for a field sample",string,NA,basic
ltr_massdata,massSampleID,"Identifier for a mass sample",string,NA,basic
ltr_massdata,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,basic
ltr_massdata,functionalGroup,"Functional group to which a sample belongs",string,NA,basic
ltr_massdata,dryMass,"Oven-dried mass of sample or subsample",real,gram,basic
ltr_massdata,qaDryMass,"Indicates whether 'dryMass' value is associated with 'qa' measurement type",string,NA,basic
ltr_massdata,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
ltr_massdata,measuredBy,"An identifier for the technician who measured or collected the data",string,NA,basic
ltr_chemistrySubsampling,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
ltr_chemistrySubsampling,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
ltr_chemistrySubsampling,domainID,"Unique identifier of the NEON domain",string,NA,basic
ltr_chemistrySubsampling,siteID,"NEON site code",string,NA,basic
ltr_chemistrySubsampling,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
ltr_chemistrySubsampling,setDate,"Date that trap was set",dateTime,NA,basic
ltr_chemistrySubsampling,collectDate,"Date of the collection event",dateTime,NA,basic
ltr_chemistrySubsampling,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",dateTime,NA,basic
ltr_chemistrySubsampling,massSampleIDList,"List of unique identifiers for mass samples",string,NA,basic
ltr_chemistrySubsampling,massSampleMixtureID,"Identifier for a mixture of mass samples",string,NA,basic
ltr_chemistrySubsampling,cnSampleID,"Identifier for a carbon-nitrogen sample",string,NA,basic
ltr_chemistrySubsampling,cnSampleCode,"Barcode of a carbon-nitrogen sample",string,NA,basic
ltr_chemistrySubsampling,ligninSampleID,"Identifier for a lignin sample",string,NA,basic
ltr_chemistrySubsampling,ligninSampleBarcode,"Barcode for a lignin sample",string,NA,basic
ltr_chemistrySubsampling,archiveSampleID,"Identifier for an archive sample",string,NA,basic
ltr_chemistrySubsampling,archiveSampleBarcode,"Barcode for an archive sample",string,NA,basic
ltr_chemistrySubsampling,toxicodendronPossible,"Indicator for whether a sample may contain Toxicodendron spp",string,NA,basic
ltr_chemistrySubsampling,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
ltr_chemistrySubsampling,processedBy,"An identifier for the technician who processed the sample(s)",string,NA,basic
ltr_pertrap,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
ltr_pertrap,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
ltr_pertrap,domainID,"Unique identifier of the NEON domain",string,NA,basic
ltr_pertrap,siteID,"NEON site code",string,NA,basic
ltr_pertrap,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
ltr_pertrap,subplotID,"Identifier for the NEON subplot",string,NA,basic
ltr_pertrap,trapID,"Identifier for trap",string,NA,basic
ltr_pertrap,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic
ltr_pertrap,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic
ltr_pertrap,elevation,"Elevation (in meters) above sea level",real,meter,basic
ltr_pertrap,nlcdClass,"National Land Cover Database Vegetation Type Name",string,NA,basic
ltr_pertrap,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic
ltr_pertrap,geodeticDatum,"Model used to measure horizontal position on the earth",string,NA,basic
ltr_pertrap,coordinateUncertainty,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",real,meter,basic
ltr_pertrap,elevationUncertainty,"Uncertainty in elevation values (in meters)",real,meter,basic
ltr_pertrap,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,basic
ltr_pertrap,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,basic
ltr_pertrap,targetTaxaPresent,"Indicator of whether the sample contained individuals of the target taxa",string,NA,basic
ltr_pertrap,trapType,"Type of trap from which a sample was collected",string,NA,basic
ltr_pertrap,trapPlacement,"Strategy for selecting plot location",string,NA,basic
ltr_pertrap,trapSize,"Size of trap",real,squareMeter,basic
ltr_pertrap,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
ltr_pertrap,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
